DATE,NE TAVG,NE TMIN,NE TMAX
1/1/1951,-7.01,-12.32,-1.7
1/2/1951,-6.75,-12.84,-0.66
1/3/1951,-1.29,-6.53,3.95
1/4/1951,4.18,0.72,7.64
1/5/1951,-0.57,-7.71,6.57
1/6/1951,-6.49,-11.32,-1.67
1/7/1951,-7.24,-12.43,-2.06
1/8/1951,-9.8,-13.2,-6.4
1/9/1951,-11.71,-17.24,-6.17
1/10/1951,-9.34,-16.64,-2.03
1/11/1951,-6.1,-13.04,0.84
1/12/1951,-2.96,-6.56,0.65
1/13/1951,-3.86,-7.91,0.19
1/14/1951,-7.59,-15.13,-0.06
1/15/1951,-4.3,-10.3,1.71
1/16/1951,-1.46,-5.16,2.25
1/17/1951,-6.3,-11.38,-1.21
1/18/1951,-3.87,-10.17,2.42
1/19/1951,-1.29,-8.72,6.14
1/20/1951,0.84,-5.92,7.59
1/21/1951,0.63,-5.29,6.56
1/22/1951,-8.11,-17.2,0.98
1/23/1951,-14.58,-20.52,-8.65
1/24/1951,-5.57,-12.93,1.78
1/25/1951,-0.32,-4.24,3.59
1/26/1951,-4.83,-8.63,-1.02
1/27/1951,-7.77,-11.03,-4.5
1/28/1951,-11.58,-16.14,-7.02
1/29/1951,-10.14,-13.8,-6.47
1/30/1951,-12.32,-17.13,-7.51
1/31/1951,-19.08,-25.67,-12.49
2/1/1951,-12.04,-20.09,-4
2/2/1951,-3.34,-9.97,3.28
2/3/1951,-10.93,-17.24,-4.63
2/4/1951,-9.49,-14.33,-4.66
2/5/1951,-8.94,-16.71,-1.17
2/6/1951,-7.71,-15.86,0.44
2/7/1951,-2.71,-9.42,4
2/8/1951,-3.75,-14.47,6.98
2/9/1951,-16.07,-22.33,-9.8
2/10/1951,-19.63,-25.99,-13.26
2/11/1951,-14.38,-22.95,-5.81
2/12/1951,-4.37,-9.92,1.18
2/13/1951,1.65,-2.64,5.94
2/14/1951,0.08,-5.77,5.93
2/15/1951,-9.56,-16.05,-3.07
2/16/1951,-9.45,-18.01,-0.9
2/17/1951,-5.35,-14.81,4.12
2/18/1951,-1.38,-6.85,4.08
2/19/1951,0.86,-3.05,4.77
2/20/1951,1.24,-3.07,5.55
2/21/1951,0.47,-2.79,3.74
2/22/1951,0.42,-1.12,1.96
2/23/1951,-0.46,-2.74,1.82
2/24/1951,-4.27,-7.74,-0.81
2/25/1951,-1.77,-5.93,2.4
2/26/1951,0.94,-3.63,5.51
2/27/1951,1.12,-3.33,5.57
2/28/1951,-1.46,-5.14,2.22
3/1/1951,-8.2,-14.11,-2.28
3/2/1951,-7.52,-12.06,-2.97
3/3/1951,-6.81,-12.9,-0.72
3/4/1951,-4.75,-9,-0.49
3/5/1951,-1.2,-4.57,2.18
3/6/1951,-1.78,-8.96,5.41
3/7/1951,-0.91,-7.91,6.09
3/8/1951,0.23,-4.39,4.85
3/9/1951,-5.09,-11.38,1.2
3/10/1951,-6.92,-11.54,-2.31
3/11/1951,-3.15,-7.3,1
3/12/1951,1.47,-2.96,5.9
3/13/1951,2.72,-1.86,7.29
3/14/1951,1.14,-3.03,5.31
3/15/1951,1.13,-1.87,4.14
3/16/1951,2.11,-0.68,4.9
3/17/1951,2.25,-0.89,5.38
